N316K7_D323S10_W626K9 U516Y10
N100W3_T000O2_M431E8 S300T3
N516R6_O100F2_Q530Y8 O100F2
N500E4_R243N10_F600R3 M200C3
N316K7_P616E11_P614S8 I200S2
N600R4_T200E3_H230T4 T230T4
N300T3_F616D7_E600R5 P232S7
N300T3_S000E3_A400L3 T200E3
N300T3_S000E3_A400L3 O265S11
N316K7_I524G9_A432H8 T120S4
N300D4_C136E7_T612C7 O500N2
N316S8_W620K4_A530D3 A420O4
N310E6_A313R7_P614Y8 G520G5
N310E6_S423T6_T230T4 A313R7
N300T3_A300D3_S200H4 A200S2
N200E5_L140L5_A300T2 T200E3
N310E6_A313R7_T000O2 D365E9
N316K7_I353Y8_A231E6 W626K9
N316K7_E200H4_I536E9 I200S2
N100W3_D214G10_T200E3 A362S7
N316K7_F600R3_I100F2 Y000U3
N230T4_O600R3_W626K9 W400L4
N230T4_H620S5_T000O2 S000E3
N530D5_F413D8_B000Y2 A000A1
N530D5_A200S2_A530D3 M100E4
N316K7_S132S6_I526D9 A530D3
N500E4_A200S2_S215N5 C420K5
N500E4_A200S2_S215N5 I500N2
N500E4_S243D6_A160R6 I500N2
N500E4_S243D6_A160R6 F413D8
N230T4_F400E4_E160Y5 A530D3
N230T4_F400E4_E160Y5 W216R9
N230T4_E536R5_I500N2 T200E3
N500E4_S350M4_F413D8 B000Y2
N516R6_S215N5_A530D3 T200E3
N300E4_T230T4_W626K9 R352S7
N300E4_T230T4_W626K9 A142S7
N230T4_C136E7_Y000U3 A600E3
N100W3_F400E4_N500E4 A530D3
N100W3_F400E4_N500E4 I200S2
N500E4_A530D3_I532D9 T230T4
N516G9_T200E3_F420S5 S000O2
N520S5_S200H4_A300T2 O500N2
N320E6_A000A1_W100B3 S300E4
N500E4_C420K5_T240E6 B200K4
N230T4_S423T6_T200E3 O135N6
N230T4_S423T6_T200E3 R300O5
N100W3_B612E6_T000O2 T200S4
N100W3_B612E6_T000O2 V620S7
N100W3_B612E6_T000O2 T230T4
N300T3_Q240Y7_T240E6 B200K4
N516S7_H100E4_B500N4 A253D8
N516S7_H100E4_B500N4 O500N2
N230T4_C136E7_A000A1 R520G4
N300T3_P452G7_T200E3 T612C7
N562S8_L230T4_A530D3 S253T7
N300T3_Y000U3_C530T6 W620K4
N300T3_Y000U3_C530T6 A250N6
N300T3_Y000U3_C530T6 H100E4
N316K7_O500N2_A000A1 L520K4
N316K7_I200S2_V600Y4 B200Y4
N316K7_I200S2_V600Y4 C420E5
N300T3_W626K9_I532E8 T230T4
N300T3_L530D7_B000Y2 T200E3
N500E4_C500N3_B000E2 R241D8
N500E4_C500N3_B000E2 U230D4
N500E4_C500N3_B000E2 M540Y8
N500E4_C500N3_B000E2 A600E3
N500E4_C500N3_B000E2 T630D7
N500E4_C500N3_B000E2 R315D9
N500E4_C500N3_B000E2 I526D11
N500E4_C500N3_B000E2 Y000U3
N500E4_C500N3_B000E2 H350N6
N500E4_C500N3_B000E2 D246D8
N500E4_C500N3_B000E2 I500N2
N500E4_C500N3_B000E2 Q413D9
N500E4_C500N3_B000E2 P612D8
N500E4_C500N3_B000E2 F413D8
N500E4_C500N3_B000E2 A000A1
N500E4_C500N3_B000E2 R230D6
N500E4_C500N3_B000E2 I516D8
N500E4_C500N3_B000E2 S263D6
N500E4_C500N3_B000E2 A500Y3
