S120K5_H100E4_N000O2 D130T5
S530Y7_I000I1_C623D8 D150N4
S200E3_P623Y11_G413D6 W320H4
S300D7_Y600R4_L252S7 A530D3
S243D6_J230T4_I500N2 I000I1
S200H4_S130T5_P500N4 A200S2
S130T5_P500N4_A200S2 A530D3
S200E3_A263D8_F650M4 O600R2
S235M6_T230T4_A410W5 H600R3
S500E4_F300E4_O500N2 M000Y2
S263D7_H532S5_A310P4 O600R3
S365E7_T230T4_T100O3 S200H4
S200H4_U542Y8_P653S7 H300D3
S200H4_A000A1_G462S8 I000I1
S300E5_T230T4_D300D3 N300T3
S153T5_O500N2_O500E3 A450N5
S215G7_T600E4_H500N5 A530D3
S414Y6_R235G8_T200E3 T614E8
S353G8_A530D3_H435G7 O300T3
S243D6_N300T3_K100P4 S400O4
S216S7_O100F2_A530D3 G650N5
S164L7_S540L5_T200E3 C536R6
S540L5_T200E3_C536R6 O100F2
S524E6_T140E5_D613D6 W320H4
S300D5_P230D6_W320H4 E520H6
S616S7_W320H4_F626T8 A530D3
S300T3_D150N4_Y300T3 A532R7
S213D6_T200E3_R230T4 O100F2
S542S6_A530D3_F530D4 L200E4
S300D5_A452T6_A200S2 T400L4
S500M4_O436R5_T250N4 S200E3
S200E3_G653D7_A530D3 C230D7
S200E4_W250N4_W000E2 F623T5
S300D4_A200S2_W323D7 T200E3
S300Y5_P453Y9_S200E3 W532S5
S530Y7_H410P4_B430D5 N100W3
S320S5_H300D3_D253D9 A530D3
S120S7_H300D3_B500N4 D214D9
S000E3_A000A1_S250N4 O100F2
S200E3_S153S6_M230T4 O100F2
S352G8_M120S4_A530D3 S360R4
S360R4_M320H5_T235D9 B160E6
S616R6_O100F2_K510W4 T230T4
S100W3_I300T2_O500N2 M000Y2
S532G9_W600E4_T000O2 H150N6
S200E3_I200S2_S352G8 O500N2
S352G8_O500N2_I300T2 W430D5
S200E3_D236T8_R160R6 A530D3
S400O4_R263D6_H600R3 A200S2
S100E4_W320H4_B300T3 M000Y2
S340L5_B412S8_T230T4 N000O2
S540L5_C630E6_T200E5 C243N8
S200E3_I534Y11_R516D10 A530D3
S240A5_W200O3_W600E4 C230T4
S540L5_A530D3_T260R5 N100W3
S352G7_T100O3_D120S7 O500N2
S536T15_F430D5_O100F2 P400E4
S120K5_F640Y6_D600A5 A530D3
S254L6_J500M3_M600R3 A136R5
S164L7_R263G9_D652S6 H300D3
S152G6_O500N2_Y000U3 A530D3
S546R7_T232S7_T000O2 F620E5
S400O4_W430D5_H410P4 T000O2
S626Y7_I000I1_H300D3 P616D9
S612E7_C636R6_F430D6 W320H4
S623E9_W653D6_W430D5 E153Y10
S130D5_A400L3_O100F2 A530D3
S165N5_T000O2_K100P4 N500E4
S400O4_I200S2_W230T4 X500A5
S340L5_A526Y5_O160R4 H200S3
S153T6_A420K4_H300D3 T430D4
S200H4_A530D3_A432H8 I000I1
S340L5_F430T4_B300T3 T260E5
S200H4_Y000U3_R516R8 H100W3
S625G9_F600R3_H100W3 D216E9
S153T6_T250N5_M000E2 F650M4
S210W4_M500Y4_B300T3 H000E2
S500N4_T200E3_E513S9 I500N2
S532G9_M600E4_Y000U3 S243D6
S243D6_W000E2_I536D11 T200S4
S400O4_O153D6_T200E3 S253D6
S253D6_W200H5_T653D6 O300T3
S540L5_D300A4_A530D3 A231D9
S361S6_A530D3_B432S5 H435G7
S160E5_H000E2_W600E4 A000A1
S164S6_A200S2_P632S5 O100F2
S532S6_T230T4_A251D11 T200E3
S532S6_I530O4_B300T3 R160R6
S230T4_I200S2_D000O2 Y000U3
S263Y8_H000E2_S313D7 T200E3
S313D7_T200E3_V300O5 A530D3
S300D7_T200E3_S265N6 H630T5
S265N6_H630T5_S520K4 A200S2
S212S5_B000Y2_L525G9 S540L5
S210P4_I200S2_T200Y4 D200K4
S300D4_P252S7_T200Y4 U200E3
S532C9_V625N7_O100F2 T260R5
S210E5_R142D9_O500N2 S500E7
S500E7_I200S2_S353G8 J230T4
S400O4_A530D3_W000E2 R363D9
S153T5_T200E3_R536R9 O100F2
S530D4_A000A1_S250N4 O100F2
S500N4_A530D3_D500E4 D652G6
S400O4_T200K4_U200S2 T000O2
S353G8_B315N7_A000A1 M400E4
S300D6_B200K4_T260E5 A000A1
S000O2_M200H4_A136R5 T200Y4
S410P5_W400L4_T230T4 A200S2
S564D7_I500N2_M000Y2 T235G10
S453Y8_S000O2_A200S2 N300T3
S540L5_T200E3_M400E4 C430D6
S164L7_H200S3_B400E4 E200S4
S100W3_T200E3_C400L4 D416N12
S241S10_O100F2_M400E4 A530D3
S535S9_C613D6_P462S7 O100F2
S212S6_F600R3_C635N7 T614L6
