T200E3_L200S5_A300T2 G600R6
T000O2_G320S4_E234Y7 B000E2
T100P3_M000Y2_O500N2 T260R5
T260R5_J230T4_C264E7 I200S2
T200Y4_A234Y8_W300T4 A530D3
T500M4_O100F2_K460R6 N520A5
T200E3_M320H4_I000I1 N300T3
T200E3_B300T3_E421H7 S200E3
T250N4_P140E6_A600E3 Y000U3
T000O3_B200Y4_G352G7 T000O3
T000O3_B200Y4_G352G7 H600R3
T000O2_S100E4_N000O2 T500E4
T252K5_A530D3_S000E3 R230T5
T000O2_T250N4_S312S5 A530D3
T250N4_S312S5_A530D3 S200S6
T230T4_C540E7_K512S5 A400L3
T200E5_A530D3_I200S2 P614Y8
T200E5_A530D3_I200S2 C525G13
T000O2_T620K5_K656R6 S340L5
T620K5_K656R6_S340L5 T230T4
T500E4_K656R6_S000Y3 M500Y4
T252S6_J230T4_T000O2 A120E7
T252S6_J230T4_T000O2 M200E4
T000O2_A120E7_Y600R4 H200S3
T000O2_A530D3_L500N4 I500N2
T200E3_C535G12_T230T4 I200S2
T230T4_I200S2_F625G7 T250M4
T250M4_T000O2_F410W6 Y000U3
T250M4_T000O2_F410W6 I100F2
T250M4_T000O2_F410W6 H600R3
T000O2_F410W6_Y000U3 M253D13
T000O2_F410W6_Y000U3 W250N4
T000O2_F410W6_Y000U3 R530D5
T000O2_C500E4_K400L4 Y000U3
T250N4_B300T3_O300T3 O100F2
T000O2_E421H7_A400L3 A530D3
T000O2_B513D6_Y600R4 A530D3
T250N4_P000A2_F530D5 A530D3
T000O2_C136E7_A530D3 D000O2
T000O2_C136E7_A530D3 T250N4
T000O2_T265G9_W200S3 A000A1
T265G9_W200S3_A000A1 C514E8
T200E3_B520G5_A140E4 T000O2
T200E3_C535G12_P240Y10 W430D5
T200E4_T200E3_K514E9 O100F2
T520E7_D236R8_A600E3 S352G7
T520E7_D236R8_A530D3 T200E3
T520E7_D236R8_A530D3 Y600R4
T200E3_Y600R4_O430D3 T520E7
T340Y7_S363T6_I000I1 S000Y3
T163S7_U200S2_W240E5 S340A6
T400L4_T200S4_G000Y3 E163G10
T400L4_T200S4_G000Y3 T200E3
T200S4_G000Y3_E163G10 Y000U3
