S614L8_K300T3_W320H4 A532C10
S540L5_N340E6_A530D3 A530D3
S430D6_W320H4_O500N2 W200H5
S353D5_M500Y4_A463Y7 T230T7
S260E5_O100F2_B326M8 T230T4
S524D8_I500N2_T200E3 E514E8
S153T5_A200S4_I500N2 A000A1
S500E7_H300D3_I245D6 O500N2
S000S1_F600R2_A300T2 F623T5
S500E4_C320Y6_O600R2 I000I1
S532G9_S532G9_T200E3 I000I1
S532G9_T200E3_I000I1 G100E4
S213D6_P423R9_A631S9 F650M4
S153S9_A530D3_T200Y4 W600E4
S164L7_J512S5_I500N2 T200E3
S215G7_T200E3_P630Y6 B453D5
S212D9_A400L3_T200E5 I000I1
S354Y8_D216E9_F600R3 F620H5
S652G7_C323L9_F600R3 T153Y6
S150N5_F300T4_E235G9 T262H7
S120S5_C200E6_O600R2 R130D6
S653D10_B000Y2_R300D3 C350N7
S214G11_A530D3_P413D7 R200E4
S235S7_W600E4_I500N2 I300T2
S300D4_B200E7_T200E5 F623T5
S000O2_S000O2_F400L4 O100F2
S415G8_O500N2_H630D4 T200E3
S530D4_A500E6_A260E6 W200O3
S000O2_B300T3_A213G9 T200S4
S420E5_O100F2_A530D3 A000A1
S151L8_O100F2_F630T5 C234L8
S363D7_T261G8_T200E3 E236Y9
S263T5_S140Y6_O100F2 D200S6
S140Y6_O100F2_D200S6 A530D3
S416E10_T200E3_S362E6 B250N5
S362E6_B250N5_T000O2 T200E3
S123D8_A200S2_T200S4 S365E7
S365E7_A231Y8_T250N4 W100B4
S342G8_T200E3_H000E2 N300T3
S120K5_W530T4_O500N2 F600R3
S315G7_T200E3_C452G8 T200E3
S415G8_B320H4_I536S7 A530D3
S423Y8_P300D6_W320H4 R160R6
S365S7_O100F2_C262S9 M213T9
S514E9_O100F2_P612Y7 F540Y7
S263T6_B420S5_A530D3 B200S5
S300E4_W600E4_R300D6 F600R3
S361M9_H100O4_S320S6 O100F2
S320S6_O100F2_L131P6 C513S9
S520G6_O600R3_S614L8 M363D8
S614L8_M363D8_L200S4 T250N4
S650E6_S262S6_O100F2 N625T12
S262S6_O100F2_N625T12 I000I1
S000O2_E526D10_U150N4 B000Y2
S152G5_T200E3_B300T4 O500N2
S100W3_C656S10_A530D3 E150N4
S156S10_U252G5_M364S9 R142S6
S200H4_T252L9_M364L8 H300D3
S514Y6_N160R5_H300D3 T200E3
S340L5_L300D6_W320H4 W531S7
S610E5_T200E3_C145N8 N230T5
S252S8_T200H6_A300T2 T520S5
S163S6_A412S6_F430T4 L200E4
S340L5_B250E6_A500N2 D200S4
S320E5_T200Y4_L300T3 I300T2
