A236R11_W600R4_E500N3 O124D9
A162G7_H000E3_H300T3 M300T3
A162G7_H000E3_H300T3 Z000U3
A454L8_S230T5_I500N2 D000E3
A500N3_B200J3_M500N6 D000E3
A420S3_R231E13_B452G8 W300T3
A432D6_D600R4_E426R6 D230T5
A424E8_V324R17_D300T3 G130T5
A420S3_J200J3_F421N11 Z000I3
A525N9_D000E2_D600R4 B410F5
A525N9_D000E2_D600R4 I500N2
A562A7_G500N4_E230T4 G164E11
A523E12_K300E5_B142S7 B421N7
A123E9_W530T4_D000E2 T234S7
A235E11_A450N6_I536T11 O530T5
A450N6_I536T11_O530T5 H200J3
A531D8_J252S5_O100F2 Z250N4
A500N3_D000E2_S340L5 K500N3
A500N3_D000E2_S340L5 D000E2
A500N3_D000E2_S340L5 G623T6
A500N3_D000E2_S340L5 V500N3
A500N3_D000E2_S340L5 H300T3
A236R10_G453D7_T000E2 L250N5
A450N6_V653E12_T612L7 D000E3
A100F2_T000E2_D500N4 A420S3
A100F2_T000E2_D500N4 A500N3
A100F2_T000E2_D500N4 E500N2
A420S3_E500N3_K123E7 V500N3
A300O4_Z300T3_E500N2 E500N3
A536E10_K453R9_V636P8 B250N8
A500M6_O100P2_E500N3 O100F2
A536R5_S160R9_W150N5 V636E10
A420S3_D000E2_I535N8 H600R4
A420S3_D000E2_I535N8 D000E2
A420S3_D000E2_I535N8 N300T4
A236N8_O161N10_E500N2 O534K12
A525E12_A123N9_M250N9 W650N5
A123N9_M250N9_W650N5 D000E3
A400E4_K535N6_E500N3 G130D6
A400E4_K535N6_E500N3 K450E6
A400E4_K535N6_E500N3 H532R13
A230T4_T300T3_T141F6 K453R9
A230T4_T300T3_T141F6 K530T4
A230T4_T300T3_T141F6 H300T3
A230T4_T300T3_T141F6 J600R4
A230T4_T300T3_T141F6 I500N2
A230T4_T300T3_T141F6 U600R3
A420S3_E500N3_L241N11 H000E3
A420S3_D000E3_E500N2 M250N9
A420S3_D000E3_E500N2 A420S3
