A000A1_B510B4_S150N4 I530O4
A523M9_T000O2_T200E3 B510B4
A200S2_A000A1_D130Y6 N354L8
A200S2_A000A1_D130Y6 O100F2
A000A1_D130Y6_N354L8 S263Y8
A200S2_A521R6_B200E7 H000E2
A521R6_B200E7_H000E2 W623D6
A521R6_B200E7_H000E2 W200S3
A530D3_T423D6_D623Y8 T000O2
A400I3_A134H8_B300T3 C425S9
A134H8_B300T3_C425S9 W320H4
A420O4_C230D6_D500I3 B460R5
A136R5_T200E3_F430D6 C262S9
A136R5_T200E3_F430D6 T520S5
A136R5_T200E3_F430D6 R500N3
A653D6_O500N2_J560Y7 B650N7
A000A1_S353T9_A530D3 R420E7
A000A1_S353T9_A530D3 T200E3
A000A1_S353T9_A530D3 B000Y2
A530D3_R420E7_I200S2 T200E3
A230D5_W232R7_I000I1 A260E5
A260E5_W320H4_T200S4 I000I1
A230T3_O100F2_P632T7 T230T4
A000A1_S530E6_C530E9 A230D5
A230D5_W232R7_H000E2 A263D6
A000A1_B460R5_E165E8 H300D3
A530D3_C513R8_O150A5 T230T7
A000A1_P630Y6_G000Y3 O500N2
A615N7_P524A9_E646R7 I534E12
A232S4_I523E6_D300D3 N300T3
A353N9_T000O2_T250M4 B520G5
A353N9_T000O2_T250M4 A200S2
A353N9_T000O2_T250M4 B200E7
A500N2_A326R8_A252T7 A000A1
A326R8_A252T7_A000A1 F100W3
A500N2_A210P4_C462C6 N530D5
A210P4_C462C6_N530D5 A516R5
A516R5_T652G6_T000O2 R263T7
A530D3_T650N5_C516S8 F600R3
A320S7_A252T7_W236N7 T623S7
A252T7_W236N7_T623S7 O323E7
A231Y8_P435G8_A252T7 T200E3
A252T7_T200E3_P300D4 A500Y3
A353N9_T000O2_B460R5 S250E5
A400L2_Q300A5_T263S7 O300T3
A130T5_H200S3_R163T6 M300E4
A300T2_I300T2_O100F3 A500N2
A500N2_T200E3_P623T9 Y000U3
A500N2_T200E3_P623T9 T430D4
A530D7_T230T4_T200E3 P630Y8
A530D3_O124Y9_I300T2 W200S3
A142D10_T000O2_T200E3 P620S5
A000A1_H240Y6_C514X7 D253T8
A000A1_H240Y6_C514X7 S124D11
A000A1_D123G11_E632E10 S362K6
A530D3_S510P4_G300T3 T000O2
A600E3_G352G7_R410F6 D150N4
A412S6_I000I1_K510W4 A000A1
A412S6_I000I1_K510W4 W200Y3
A000A1_G300D4_S362N10 T200S4
A420O4_H300D3_C526S8 A130T5
A130T5_W250N4_C632M9 O100F2
A000A1_M620K4_T200E3 P612S8
A500N2_B200E7_H000E2 D300D3
A200S2_G320S5_F430T4 T230T4
A000A1_A200S2_N354L8 S263Y8
A562N8_H236Y7_W260E5 A000A1
A562N8_H236Y7_W260E5 I000I1
A142S7_A530D3_P353T7 A530D3
A530D3_P353T7_A530D3 P612L12
A530D3_P353T7_A530D3 W430D5
A530D3_P612L12_F623N11 W320H4
A530D3_T260E5_Q636S8 O100F2
A000A1_W625G7_L520G4 D200S4
A530D3_R640Y6_S520G6 H200S3
A530D3_N300T3_T252G6 P240L8
A521G9_T200E3_C420S5 T230T4
A300T2_A530D3_G300T3 L130D6
A300T2_A530D3_G300T3 S500E4
A530D3_G300T3_L130D6 A000A1
A530D3_B512Y11_O100F2 L530D7
A530D3_R253T10_I500N2 H200S3
A300T2_T520S5_E613G8 F650M4
A300T2_A000A1_H416E9 M500O4
