A142S10_U536R5_T200E3 A251N10
A000A1_R200Y5_L500N4 I200S2
A300T2_A426M9_A412S6 U200S2
A426M9_A412S6_U200S2 T000O2
A250N6_A000A1_P543Y7 T000O2
A000A1_P543Y7_T000O2 D165T9
A000A1_T600E4_F650M4 M252G6
A600E3_D253D10_I500N2 A000A1
A600E3_D253D10_I500N2 T200E3
A600E3_D253D10_I500N2 D340L6
A000A1_W200H5_H100W3 M500Y4
A530D3_A234L6_V420S6 C500N3
A530D3_A234L6_V420S6 A600E3
A530D3_A234L6_V420S6 M000Y3
A530D3_A234L6_V420S6 A260E5
A530D3_A234L6_V420S6 T000O2
A530D3_A234L6_V420S6 S363D6
A530D3_A234L6_V420S6 I200S2
A234L6_V420S6_C500N3 B320H4
A000A1_M362X6_U252G5 A000A1
A420O4_N500E4_T200E3 M362X6
A130D5_C512N9_L360R5 T200E3
A250N6_T200E3_P543Y7 F600R3
A000A1_S121C8_A234L6 A234L6
A234L6_A234L6_A234L6 A234L6
A234L6_A234L6_A234L6 W000E2
A234L6_A234L6_W000E2 B410E7
A234L6_W000E2_B410E7 T230T4
A000A1_L500N4_D143T7 C232S5
A200S2_A000A1_M230D6 O600R3
A000A1_M230D6_O600R3 P543Y7
A253D8_W250N4_T200E3 A426M9
A253D8_W250N4_T200E3 P540L5
A426M9_C421S10_B300T3 A000A1
A000A1_C230T4_O100F2 V620S6
A000A1_C230T4_O100F2 S352S7
A000A1_C230T4_O100F2 A500M2
A000A1_F420E5_C230T4 T000O2
A200S2_C232S5_D500N3 T200E3
A234L6_D143S8_P632D9 T000O2
A000A1_R323N9_O100F2 F420E5
A000A1_R323N9_O100F2 T200E3
A213E10_I100F2_O600R3 C230T4
A000A1_C420S5_T000O2 U541D9
A000A1_C420S5_T000O2 H100E4
A000A1_C420S5_T000O2 R162T9
A000A1_C420S5_T000O2 I320S3
A000A1_C420S5_T000O2 B000E2
A000A1_C420S5_T000O2 A230E9
A000A1_C420S5_T000O2 I514T9
