L630D4_U462C5_P300T3 A230E5
L300Y4_B200E7_W325N6 T100O3
L100E4_U536R5_A000A1 S365E7
L000E3_T230T4_U462C5 W200S3
L152G6_C243N8_T000O2 T200E3
L300Y4_O100F2_F631S12 C500N3
L630D4_D300D3_N300T3 E150N4
L630D4_D300D3_N300T3 R500N6
L630D4_I500N2_H200S3 S500N3
L630D4_I500N2_H200S3 G460Y5
L100P3_S143T5_L200E4 T230T4
L300Y4_E410A4_N160R5 S213D6
L520G4_A530D3_B314L9 W200S3
L120S5_O100F2_A000A1 H350N6
L120S5_O100F2_A000A1 C432C6
L120S5_O100F2_A000A1 F100W3
L120S5_O100F2_A000A1 L523L12
L120S5_O100F2_A000A1 D250N5
L252G7_E161E10_B300T3 A300T2
L653D7_T200H6_S200E3 W200S3
L630D4_E200S4_H300D3 T653D6
L200K4_B530D6_M000Y2 S243R8
L300Y4_G560A7_W200O3 S542S6
L300Y4_E410A4_P300T3 A653D6
L630D4_M230T5_H100E4 H300D3
L526R6_T000O2_B000E2 T200E3
L230D6_U150N4_B000Y2 T200E3
L300Y4_T125A7_O300T3 O100F2
L300Y4_H300D3_B500N4 S000O2
L230D7_T200H6_I300T2 S530D6
L526R6_C251N12_S200E3 S230T6
L523S7_O100F2_F500E4 S310F5
L523S7_O100F2_F500E4 R100E4
L630D4_H300D3_G130D6 H600R3
L300Y4_H300D3_G150N5 M000E2
L300Y4_H300D3_G150N5 H600R3
L300Y4_H300D3_G615N5 U100P2
L400L5_L300Y4_T125A7 W200S3
L300Y4_T125A7_W200S3 N300T3
L300Y4_T125A7_W200S3 Q200K5
L300Y4_T125A7_W200S3 I500N2
L300Y4_H300D3_A463Y7 F163D7
L630D4_H300D3_D500E4 W400L4
L300D3_T000O2_S265E6 B300T3
L200E4_A000A1_H526R6 A530D3
L200E4_A000A1_H526R6 T230T4
L120S6_O100F2_A432H8 I000I1
L300D4_O600R2_C300T3 B000Y2
L300Y4_E410A4_S252G7 W320H4
L200E4_M200H4_W325N6 T200E3
L300D4_T200E3_S350E5 O100F2
L235N7_E150N4_T200E3 M230T4
L530D4_W500N5_W600E4 D615N5
L300Y4_T125A7_H300D3 N300T3
L300Y4_T125A7_H300D3 T250N5
L520G6_M000Y2_S310F5 A530D3
L230T5_S300D5_A200S2 T162S6
L230D6_A200S2_I000I1 C430D5
L230D6_A200S2_I000I1 D623D7
L230D6_A200S2_I000I1 N530D5
