L534Y7_H530D4_H200S3 G420S5
L534Y7_A000A1_I514E7 H000E2
L534Y7_A230D5_O326R5 N300D6
L534Y7_H000E2_C630D7 T652G6
L534Y7_M000Y2_J250N5 C414D9
L200Y5_A530D3_N500I5 B530T4
L534Y7_A230D5_Y000U3 S200E3
L534Y7_O126D8_F600R3 T200E3
L534Y7_M230T7_S300D4 T000O2
L534Y7_M000E2_T000O2 Y600R4
L534Y7_H300D3_R143D8 F600R3
L534Y7_N323D7_N100W3 T230T4
L200E4_T200E3_T320H5 I500N2
L534Y7_A300T2_T200E3 L534Y7
L534Y7_S300D4_T000O2 H500M3
L534Y7_S300D4_T000O2 T200E3
L534Y7_N323D7_H200S3 E620S4
L200E4_A500N2_S530D5 I000I1
L534Y7_Y000U3_A500N2 B400E4
L526R6_F230D7_O500N2 I300T2
L534Y7_H300D3_J230T4 E520H6
L534Y7_A530D3_S300T3 H200S3
L534Y7_H200S3_G200E4 W200S3
L534Y7_J230T4_A000A1 B400E4
L534Y7_T430D4_H000E2 N160R5
L534Y7_A530D3_I000I1 A412S6
L534Y7_I300T2_I200S2 M000Y2
L230T4_T152E6_O100F2 D300Y4
L130D6_N612Y9_T262H7 H600R3
L120S4_T231Y12_A300T2 T200E3
L340E6_M230T5_H530D7 B250N7
L200E4_T200E3_F600R3 O500N2
L200E4_T200E3_F600R3 N000O2
L620E5_R500M4_W200H5 H300D3
L200E4_T200E3_L500N4 H200E5
L500N4_H200E5_I500N2 T200E3
L530D6_B200K4_W600E4 B300T3
L000Y3_B600E4_T200E3 T653C9
L200E4_S532G9_M600E4 W430D5
L200E4_S532G9_M600E4 A500M2
L253S7_A130T5_D625S7 A530D3
L100E4_H600E4_W200S3 E200H4
L200S4_H000E2_R523D6 F600R3
L520G4_W120S5_O100F2 H600R3
L234Y7_T000O2_H600R3 F300T4
L520G4_S200E3_T230D6 A530D3
L230T5_W000E2_D000E3 W430D5
L100E4_O500N2_H600E4 W323T7
L340E6_I514Y11_M500N4 O100F2
L230D7_A530D3_D300D3 T200E3
L520G4_G534E6_L500E4 O100F2
L230T5_F426D9_A530D3 F463D6
L230T5_F426D9_A530D3 B160E6
L230T5_D530D6_A530D3 T200K4
L120S6_P230T4_T200E3 M500N3
L165G8_A000A1_H530D4 T000O2
L100E5_T200E3_M500N3 T252G6
L200E4_F452G5_P432S7 A252T7
L235G9_T200E3_T620S5 A653D6
L520S5_O100F2_H100E4 Y000U3
L235G9_L523D6_T200E3 G653D6
L523D6_T200E3_G653D6 A300T2
L230T4_C500E4_T200E3 H100E4
L200E4_R363G10_T200E3 C636R7
L100W3_A530D3_S362K6 D150N4
L230T5_S250E5_F632H5 F650M4
L100E4_I500N2_T264L6 T000O2
L230T5_A530D3_P623D7 T250M4
L100E4_B000Y2_N100W3 H000E2
L200E4_T200E5_F100E4 G600R5
L300T3_B000Y2_D500M3 F426G10
L000Y3_A200S2_T200E3 W420S5
L520G4_T610P4_I530O4 A000A1
L152S5_L000Y3_C621P5 A530D3
L000Y3_C621P5_A530D3 G650N5
L230D5_T000O2_D000E3 H600R3
L100E4_T200E5_S300D4 E160Y5
L230D6_F631Y9_A300T2 T200E3
L200E4_C430D5_J230T4 B000E2
L620E5_A452T6_T200Y4 S100W3
L520E6_O100F2_V430T6 M230T4
L000E3_F653D6_I500N2 W230T4
L200E4_T200E3_S300T4 O100F2
L200E4_P635D7_L200E4 T200E3
L200E4_T200E3_T252G8 O500N2
L523H6_D150N4_T200E3 A000A1
L252G7_H600R3_L120S4 A530D3
L120S4_A530D3_L252G7 B200K4
L200S5_S200E3_N323D7 B300T3
L200E4_G352G7_S300D4 T200E3
L230D6_D216Y11_F600R3 B300T3
L526R6_A000A1_Y410W6 P423C7
L520G4_P423D8_A530D3 T200E3
L100E5_H500M3_T260E5 L200E4
L100E5_H500M3_T260E5 J162N9
L200K4_G352G7_A000A1 H215D7
L100W3_A530D3_H520G4 I500N2
L200K4_A300T2_S535S9 I000I1
L152G6_A353Y13_P252G7 U100P2
L130T4_A000A1_R520G4 O500N2
L200E4_A000A1_G615N6 B400E4
L230T4_H000E2_J230T4 H000E2
L230D7_U534L5_T620S5 C500E4
L200E4_M624E7_N632D8 P600R4
L300T3_T200E3_B200S3 G000O2
L340E6_E526T13_W530T4 A000A1
L520G4_S300D4_I000I1 P450N4
L300T3_O300T3_S500E4 S200E3
L300T3_O300T3_S500E4 O100F2
L252G7_F652Y7_F600R3 T200E3
L320S4_O100F2_P252S10 A600E3
L160R5_B300T3_S200E3 D300D3
L130T4_B232S7_A500N2 E436Y7
L252G7_T260E5_W600E4 A000A1
L516Y11_A530D3_R630D6 A100Y4
L130D5_A000A1_R240Y6 S321Y12
L140Y6_T200Y4_S300D6 O500N2
L530D4_A530D3_M300E4 W231R8
L340E6_I000I1_M230T5 T400L4
L360R5_N300D6_H600R3 H300D4
L200E4_A000A1_G615P7 H000E2
L520G4_W420K4_W600E4 L300D4
L300D4_V200S6_C520G6 F650M4
