A000A1_F230T4_W323T7 A432R10
A432R10_U536G13_L230D7 W250N4
A200S2_C500N3_T252K5 O100F2
A600E3_P450N5_A530D3 T200Y4
A130T5_M532H5_A136R5 N230T4
A136R5_N230T4_I100F2 Y000U3
A600E3_T200Y4_F420S5 B000Y2
A532G8_E212D8_A000A1 N300T4
A000A1_N300T4_T230T4 W200S3
A230T3_L200E4_I320S6 W232R7
A000A1_D526S9_C636E8 G000O2
A130T5_T614E7_L360R5 A136R5
A136R5_A425S10_C200E5 A126E9
A425S10_C200E5_A126E9 A100E5
A126E9_A100E5_H600A4 A530D3
A100E5_H600A4_A530D3 H000E2
A130T5_W230T4_M230T5 H150N6
A130T5_W230T4_M230T5 H100E4
A130T5_W230T4_M230T5 W000E2
A130T5_W230T4_M230T5 S200E3
A130T5_W230T4_M230T5 L000E3
A253T7_O100F2_N300T3 Y000U3
A130T5_W500N5_M535S9 L300T3
A000A1_L340E6_H300D3 T000O2
A000A1_L340E6_H300D3 B500N4
A000A1_L340E6_H300D3 A000A1
A000A1_L340E6_H300D3 S613D8
A000A1_L340E6_H300D3 T653D6
A000A1_L340E6_H300D3 G326D8
A300T2_S164L7_T152S5 A452G5
A452G5_T200E3_L250N6 N300T3
A452G5_T200E3_L250N6 C230T5
A200S2_B200E7_T200E3 C234L7
A200S2_B200E7_T200E3 S540I6
A200S2_B200E7_T200E3 P160R5
A200S2_B200E7_T200E3 M230T4
A200S2_B200E7_T200E3 N260Y9
A250N6_T200E3_F415G9 S165G6
A000A1_S512N9_H000E2 W200S3
A000A1_H614E8_D600R4 I100F2
A500N2_S320K5_T200E3 S652E7
A000A1_L200H5_F650M4 S236S9
A000A1_L200H5_F650M4 H200S3
A000A1_L200H5_F650M4 T200E3
A000A1_L200H5_F650M4 F623T5
A000A1_L200H5_F650M4 A356E6
A530D3_M535S9_T200E3 O126R7
A600E3_N325G7_E420E4 A530D3
A500Y3_B200E7_T200E5 M535S9
A530D3_M535S9_T200K4 T652S5
A400L3_T200E3_P616R6 T000O2
A400L3_T200E3_P616R6 T200Y4
A400L3_T200E3_P616R6 D253N15
A520G5_S236S9_P616R6 T000O2
A000A1_R140E6_L200E4 W000E2
A530D3_B650N4_E160Y5 T625R10
A530D3_P532R11_A530D3 H540A8
