S150N4_O300T3_O100F2 D000D1
S212Y10_D150N4_A300T2 H200S3
S235M6_K130T4_T620K5 W200S3
S135G8_O300T3_H200S3 T100E4
S200E3_P300T3_T200E3 C600R3
S200E3_P300T3_T200E3 W240E5
S200E3_P300T3_T200E3 P500N4
S200E3_P300T3_T200E3 B340E6
S200E3_P300T3_T200E3 B000Y3
S200E3_P300T3_T200E3 H300D4
S200E3_P300T3_T200E3 C534E6
S200E3_P300T3_T200E3 F630T5
S200E3_P300T3_T200E3 J620S4
S200E3_P300T3_T200E3 B200K4
S200E3_P300T3_T200E3 F525G9
S200E3_P300T3_T200E3 T530T4
S200E3_P300T3_T200E3 S316R7
S200E3_P300T3_T200E3 C250N5
S200E3_P300T3_T200E3 F430E5
S200E3_P300T3_T200E3 L340E6
S200E3_P300T3_T200E3 F452S8
S200E3_P300T3_T200E3 B100Y4
S200E3_P300T3_T200E3 P535G8
S200E3_P300T3_T200E3 C635N6
S200E3_P300T3_T200E3 T620K5
S200E3_P300T3_T200E3 P530T5
S200E3_P300T3_T200E3 P410W6
S200E3_P300T3_T200E3 B430E5
S200E3_P300T3_T200E3 C212S10
S500E4_P300D3_A530D3 H130D5
S500E4_A530D3_S200E3 C430D5
S500E4_A530D3_S200E3 A530D3
S500E4_A530D3_S200E3 W200S3
S500E4_A530D3_S200E3 K510W4
S200E3_C430D5_T420K4 A130T5
S200E3_C430D5_T420K4 T000O2
S200E3_C430D5_T420K4 A500N2
S200E3_C430D5_T420K4 S500E4
S000E3_W230T4_T230T4 W200S3
S000E3_W230T4_T230T4 S513H11
S000E3_W230T4_T230T4 I100F2
S000E3_W230T4_T230T4 H200S3
S200E3_M230T5_A200S2 W400L4
S200E3_M230T5_A200S2 S200E3
S600E4_B000E2_B200K4 B160E6
S600E4_B000E2_B200K4 O500N2
S200E3_Y000U3_P623E8 Y600R4
S500E4_M600E4_T230T4 T200S4
S241L7_M300E4_A000A1 S261P5
S261P5_H200S4_A200S2 I300T2
S430D4_A262S6_T200E3 S540L5
S430D4_A262S6_T200E3 P625G7
S430D4_A262S6_T200E3 G653D6
S430D4_A262S6_T200E3 P431M8
S430D4_A262S6_T200E3 B520H5
S430D4_A262S6_T200E3 D200K4
S540L5_D540L6_F413D7 T200E3
S354S9_T652G7_T200E3 S624L8
S624L8_E320E4_I530O4 S532G9
S532G9_C620E6_A530D3 H000E2
S514E6_R200K4_A200S2 H200S3
S261P5_W200S3_T230T4 T200Y4
S241L7_U100P2_T000O2 H200S3
S164L7_Y620S5_W250N4 M300E4
S164L7_Y620S5_W250N4 H000E2
S121C8_R520E5_T000O2 M200E4
S600E4_H200S3_C352G7 W200S3
S363H7_O100F2_U532D9 S250N4
S250N4_A530D3_P623D7 T200E3
S520K4_E240Y6_I530O4 H200S3
S262S5_R530D8_H500M3 O100F2
S200E3_W200S3_C352G7 A230D5
S200E3_W200S3_C352G7 O500N2
S200E3_W200S3_C352G7 U100P2
S200H4_A000A1_C352G7 T000O2
S000O2_S563T5_B200K4 I100F2
S563T5_B200K4_I100F2 T200Y4
S130D4_U100P2_A653D6 H500M3
S612S6_B250E6_H200S3 H530D4
S413D7_A530D3_P640L8 L520S5
S260R4_W200S3_T650N4 B430D5
S365M6_A200S2_D540L6 F514D7
S252S9_I500N2_H200S3 T200E3
S134L7_C532S8_I530O4 P240L8
S540L5_B400E4_T200E3 P615E7
S526S7_J230T4_A230E5 E520H6
S200E5_T200E3_F460E7 W200S3
S250N4_O100F2_T130D6 O300T3
S540L5_P653D7_O100F2 C620E6
S530D4_I530O4_H200S3 P523D7
S350E5_B315N7_T100O3 A530D3
S263S6_D100P4_E520H6 T000O2
S235S7_H300D3_B500N4 O100F2
S563D7_A000A1_L600R5 O100F2
S250N4_A321E8_O160R4 T200E3
S543D6_A300T2_T200E3 W652G7
S543D6_A300T2_T200E3 R165E9
S543D6_A300T2_T200E3 T230T7
S543D6_A300T2_T200E3 M560Y6
S543D6_A300T2_T200E3 C500E4
S543D6_A300T2_T200E3 M362H9
S543D6_A300T2_T200E3 C200E5
S543D6_A300T2_T200E3 M535N7
